"DETECT_EQUIP_NO","POSITION_NO","BAR_CODE","LOAD_CURRENT","PF","AVE_ERR"
"18","8","3730001000000411656416","05","01","+0.0088"
"18","23","3730001000000411567194","05","01","+0.0500"
"18","29","3730001000000411635725","05","01","+0.0322"
"9","2","3730001000000411785222","05","01","+0.0489"
"9","14","3730001000000411764845","05","01","+0.0678"
"9","15","3730001000000411839222","05","01","+0.0667"
"14","49","3730001000000411721190","05","01","+0.0200"
"14","52","3730001000000411750602","05","01","+0.0455"
"14","55","3730001000000411750671","05","01","+0.0722"
"16","14","3730001000000411835569","05","01","+0.0200"
"16","18","3730001000000411834869","05","01","+0.0222"
"16","23","3730001000000411729882","05","01","+0.0022"
"17","55","3730001000000411658519","05","01","-0.0199"
"14","27","3730001000000411646851","05","01","+0.0633"
"14","33","3730001000000411657017","05","01","+0.0734"
"14","37","3730001000000411657093","05","01","+0.0656"
"14","41","3730001000000411636593","05","01","+0.0333"
"15","10","3730001000000411519919","05","01","+0.0255"
"15","14","3730001000000411544546","05","01","+0.0556"
"10","1","3730001000000411541019","05","01","+0.0600"
"10","13","3730001000000411540586","05","01","-0.0078"
"10","14","3730001000000411615444","05","01","+0.0122"
"10","18","3730001000000411518882","05","01","+0.0144"
"10","24","3730001000000411542122","05","01","+0.0056"
"10","25","3730001000000411540678","05","01","+0.0089"
"10","27","3730001000000411541064","05","01","+0.0122"
"10","29","3730001000000411559618","05","01","-0.0100"
"8","5","3730001000000411609429","05","01","+0.0366"
"7","14","3730001000000411544317","05","01","+0.0067"
"7","16","3730001000000411543570","05","01","+0.1313"
"7","18","3730001000000411544270","05","01","-0.0066"
"7","24","3730001000000411541071","05","01","-0.0089"
"7","28","3730001000000411544089","05","01","+0.0056"
"7","29","3730001000000411543037","05","01","+0.0367"
"7","33","3730001000000411542412","05","01","-0.0044"
"7","35","3730001000000411541897","05","01","+0.0167"
"7","36","3730001000000411542115","05","01","-0.0089"
"7","42","3730001000000411542153","05","01","-0.0166"
"7","49","3730001000000411544195","05","01","+0.0122"
"7","52","3730001000000411543310","05","01","+0.0189"
"12","11","3730001000000411517786","05","01","-0.0033"
"12","15","3730001000000411517700","05","01","+0.0189"
"12","20","3730001000000411593384","05","01","-0.0144"
"12","25","3730001000000411627119","05","01","-0.0166"
"12","30","3730001000000411593346","05","01","-0.0022"
"12","32","3730001000000411627089","05","01","+0.0300"
"3","37","3730001000000411521110","05","01","-0.0066"
"3","47","3730001000000411556754","05","01","+0.0100"
"12","43","3730001000000411584764","05","01","+0.0044"
"12","44","3730001000000411545475","05","01","-0.0122"
"12","48","3730001000000411588663","05","01","+0.0077"
"12","49","3730001000000411641085","05","01","-0.0088"
"12","50","3730001000000411585426","05","01","+0.0300"
"1","4","3730001000000411578596","05","01","-0.0166"
"13","60","3730001000000411608750","05","01","-0.0189"
"13","25","3730001000000411838652","05","01","+0.0211"
"13","29","3730001000000411839710","05","01","+0.0144"
"13","43","3730001000000411838324","05","01","+0.0244"
"13","46","3730001000000411729950","05","01","-0.0044"
"13","47","3730001000000411730031","05","01","+0.0333"
"13","50","3730001000000411837341","05","01","+0.0044"
"13","52","3730001000000411837822","05","01","+0.0544"
"13","53","3730001000000411838669","05","01","-0.0022"
"17","53","3730001000000411803285","05","01","-0.0066"
"17","54","3730001000000411712501","05","01","-0.0122"
"4","20","3730001000000411747695","05","01","-0.0011"
"4","24","3730001000000411748074","05","01","+0.0111"
"3","35","3730001000000411527464","05","01","+0.0066"
"18","28","3730001000000411551827","05","01","-0.0188"
"18","33","3730001000000411554057","05","01","+0.0189"
"18","36","3730001000000411552664","05","01","+0.0300"
"18","39","3730001000000411554729","05","01","+0.0033"
"18","41","3730001000000411552688","05","01","+0.0100"
"18","44","3730001000000411547783","05","01","-0.0144"
"18","48","3730001000000411548384","05","01","+0.0100"
"18","53","3730001000000411552343","05","01","-0.0055"
"18","60","3730001000000411554576","05","01","+0.0255"
"10","50","3730001000000411841508","05","01","-0.0122"
"10","58","3730001000000411842734","05","01","+0.0300"
"17","3","3730001000000411508289","05","01","+0.0166"
"17","10","3730001000000411652562","05","01","-0.0233"
"17","20","3730001000000411508623","05","01","+0.0834"
"17","22","3730001000000411653880","05","01","+0.0122"
"1","19","3730001000000411823900","05","01","+0.0400"
"1","29","3730001000000411727178","05","01","+0.0500"
"1","35","3730001000000411807887","05","01","+0.0122"
"14","1","3730001000000411820640","05","01","+0.0467"
"2","1","3730001000000411744717","05","01","-0.0388"
"2","2","3730001000000411744014","05","01","+0.0344"
"12","25","3730001000000411544638","05","01","+0.0122"
"12","29","3730001000000411559014","05","01","+0.0466"
"12","34","3730001000000411544607","05","01","-0.0077"
"12","36","3730001000000411588601","05","01","+0.0355"
"2","48","3730001000000411836917","05","01","-0.0166"
"1","6","3730001000000411771072","05","01","+0.0167"
"1","18","3730001000000411737238","05","01","-0.0144"
"1","35","3730001000000411774066","05","01","-0.0300"
"17","28","3730001000000411649944","05","01","+0.0178"
"17","43","3730001000000411508258","05","01","+0.0300"
"17","47","3730001000000411525408","05","01","+0.0389"
"5","49","3730001000000411732011","05","01","+0.0200"
"14","6","3730001000000411818012","05","01","+0.0211"
"14","12","3730001000000411774851","05","01","+0.1056"
"14","17","3730001000000411816995","05","01","+0.0266"
"14","25","3730001000000411771973","05","01","+0.0044"
"14","32","3730001000000411772062","05","01","-0.0077"
"6","21","3730001000000411848385","05","01","-0.0078"
"6","25","3730001000000411855932","05","01","-0.0066"
"6","36","3730001000000411855239","05","01","+0.0244"
"6","26","3730001000000411761943","05","01","+0.0288"
"6","31","3730001000000411824341","05","01","+0.0177"
"6","39","3730001000000411743901","05","01","-0.0188"
"13","59","3730001000000411777005","05","01","+0.0155"
"16","36","3730001000000411786083","05","01","+0.0133"
"16","42","3730001000000411785611","05","01","+0.0022"
"8","33","3730001000000411802585","05","01","+0.0189"
"8","36","3730001000000411806484","05","01","+0.0366"
"8","39","3730001000000411845629","05","01","+0.0088"
"8","43","3730001000000411805791","05","01","+0.0355"
"8","44","3730001000000411806620","05","01","+0.0500"
"8","50","3730001000000411802592","05","01","+0.0033"
"8","52","3730001000000411803179","05","01","+0.0678"
"11","27","3730001000000411851941","05","01","+0.0200"
"11","31","3730001000000411841782","05","01","+0.0044"
"11","36","3730001000000411851927","05","01","+0.0278"
"11","43","3730001000000411842307","05","01","+0.0111"
"11","53","3730001000000411854195","05","01","+0.0078"
"11","57","3730001000000411851965","05","01","-0.0100"
"10","11","3730001000000411730918","05","01","-0.0188"
"10","15","3730001000000411755331","05","01","-0.0177"
